Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GN3,NO,01/01/2011 00:00,17.00000,ug m-3,R
GN3,NO,02/01/2011 00:00,17.60000,ug m-3,R
GN3,NO,03/01/2011 00:00,57.10000,ug m-3,R
GN3,NO,04/01/2011 00:00,45.90000,ug m-3,R
GN3,NO,05/01/2011 00:00,20.80000,ug m-3,R
GN3,NO,06/01/2011 00:00,80.40000,ug m-3,R
GN3,NO,07/01/2011 00:00,69.90000,ug m-3,R
GN3,NO,08/01/2011 00:00,22.70000,ug m-3,R
GN3,NO,09/01/2011 00:00,24.00000,ug m-3,R
GN3,NO,10/01/2011 00:00,28.70000,ug m-3,R
GN3,NO,11/01/2011 00:00,55.10000,ug m-3,R
GN3,NO,12/01/2011 00:00,18.90000,ug m-3,R
GN3,NO,13/01/2011 00:00,17.40000,ug m-3,R
GN3,NO,14/01/2011 00:00,20.70000,ug m-3,R
GN3,NO,15/01/2011 00:00,10.80000,ug m-3,R
GN3,NO,16/01/2011 00:00,8.70000,ug m-3,R
GN3,NO,17/01/2011 00:00,34.90000,ug m-3,R
GN3,NO,18/01/2011 00:00,37.90000,ug m-3,R
GN3,NO,19/01/2011 00:00,79.30000,ug m-3,R
GN3,NO,20/01/2011 00:00,8.20000,ug m-3,R
GN3,NO,21/01/2011 00:00,35.40000,ug m-3,R
GN3,NO,22/01/2011 00:00,8.30000,ug m-3,R
GN3,NO,23/01/2011 00:00,1.00000,ug m-3,R
GN3,NO,24/01/2011 00:00,31.30000,ug m-3,R
GN3,NO,25/01/2011 00:00,49.50000,ug m-3,R
GN3,NO,26/01/2011 00:00,4.10000,ug m-3,R
GN3,NO,27/01/2011 00:00,3.40000,ug m-3,R
GN3,NO,28/01/2011 00:00,5.50000,ug m-3,R
GN3,NO,29/01/2011 00:00,3.70000,ug m-3,R
GN3,NO,30/01/2011 00:00,9.60000,ug m-3,R
GN3,NO,31/01/2011 00:00,65.60000,ug m-3,R
GN3,NO,01/02/2011 00:00,48.30000,ug m-3,R
GN3,NO,02/02/2011 00:00,26.50000,ug m-3,R
GN3,NO,03/02/2011 00:00,20.10000,ug m-3,R
GN3,NO,04/02/2011 00:00,10.00000,ug m-3,R
GN3,NO,05/02/2011 00:00,9.40000,ug m-3,R
GN3,NO,06/02/2011 00:00,6.70000,ug m-3,R
GN3,NO,07/02/2011 00:00,16.80000,ug m-3,R
GN3,NO,08/02/2011 00:00,68.30000,ug m-3,R
GN3,NO,09/02/2011 00:00,31.60000,ug m-3,R
GN3,NO,10/02/2011 00:00,29.50000,ug m-3,R
GN3,NO,11/02/2011 00:00,31.20000,ug m-3,R
GN3,NO,12/02/2011 00:00,23.70000,ug m-3,R
GN3,NO,13/02/2011 00:00,13.70000,ug m-3,R
GN3,NO,14/02/2011 00:00,26.70000,ug m-3,R
GN3,NO,15/02/2011 00:00,26.10000,ug m-3,R
GN3,NO,16/02/2011 00:00,32.40000,ug m-3,R
GN3,NO,17/02/2011 00:00,26.00000,ug m-3,R
GN3,NO,18/02/2011 00:00,37.40000,ug m-3,R
GN3,NO,19/02/2011 00:00,18.20000,ug m-3,R
GN3,NO,20/02/2011 00:00,7.80000,ug m-3,R
GN3,NO,21/02/2011 00:00,39.20000,ug m-3,R
GN3,NO,22/02/2011 00:00,70.50000,ug m-3,R
GN3,NO,23/02/2011 00:00,27.50000,ug m-3,R
GN3,NO,24/02/2011 00:00,37.50000,ug m-3,R
GN3,NO,25/02/2011 00:00,21.80000,ug m-3,R
GN3,NO,26/02/2011 00:00,23.50000,ug m-3,R
GN3,NO,27/02/2011 00:00,13.70000,ug m-3,R
GN3,NO,28/02/2011 00:00,1.70000,ug m-3,R
GN3,NO,01/03/2011 00:00,2.40000,ug m-3,R
GN3,NO,02/03/2011 00:00,0.90000,ug m-3,R
GN3,NO,03/03/2011 00:00,0.70000,ug m-3,R
GN3,NO,04/03/2011 00:00,9.30000,ug m-3,R
GN3,NO,05/03/2011 00:00,3.30000,ug m-3,R
GN3,NO,06/03/2011 00:00,3.50000,ug m-3,R
GN3,NO,07/03/2011 00:00,37.40000,ug m-3,R
GN3,NO,08/03/2011 00:00,77.40000,ug m-3,R
GN3,NO,09/03/2011 00:00,23.20000,ug m-3,R
GN3,NO,10/03/2011 00:00,14.20000,ug m-3,R
GN3,NO,11/03/2011 00:00,24.40000,ug m-3,R
GN3,NO,12/03/2011 00:00,23.80000,ug m-3,R
GN3,NO,13/03/2011 00:00,22.50000,ug m-3,R
GN3,NO,14/03/2011 00:00,51.50000,ug m-3,R
GN3,NO,15/03/2011 00:00,23.10000,ug m-3,R
GN3,NO,16/03/2011 00:00,3.80000,ug m-3,R
GN3,NO,17/03/2011 00:00,43.50000,ug m-3,R
GN3,NO,18/03/2011 00:00,21.20000,ug m-3,R
GN3,NO,19/03/2011 00:00,74.30000,ug m-3,R
GN3,NO,20/03/2011 00:00,26.30000,ug m-3,R
GN3,NO,21/03/2011 00:00,58.50000,ug m-3,R
GN3,NO,22/03/2011 00:00,50.60000,ug m-3,R
GN3,NO,23/03/2011 00:00,62.00000,ug m-3,R
GN3,NO,24/03/2011 00:00,29.20000,ug m-3,R
GN3,NO,25/03/2011 00:00,54.70000,ug m-3,R
GN3,NO,26/03/2011 00:00,48.80000,ug m-3,R
GN3,NO,27/03/2011 00:00,12.80000,ug m-3,R
GN3,NO,28/03/2011 00:00,27.40000,ug m-3,R
GN3,NO,29/03/2011 00:00,70.60000,ug m-3,R
GN3,NO,30/03/2011 00:00,29.60000,ug m-3,R
GN3,NO,31/03/2011 00:00,20.80000,ug m-3,R
GN3,NO,01/04/2011 00:00,21.10000,ug m-3,R
GN3,NO,02/04/2011 00:00,24.10000,ug m-3,R
GN3,NO,03/04/2011 00:00,19.10000,ug m-3,R
GN3,NO,04/04/2011 00:00,22.20000,ug m-3,R
GN3,NO,05/04/2011 00:00,19.10000,ug m-3,R
GN3,NO,06/04/2011 00:00,25.00000,ug m-3,R
GN3,NO,07/04/2011 00:00,28.90000,ug m-3,R
GN3,NO,08/04/2011 00:00,27.90000,ug m-3,R
GN3,NO,09/04/2011 00:00,16.10000,ug m-3,R
GN3,NO,10/04/2011 00:00,12.80000,ug m-3,R
GN3,NO,11/04/2011 00:00,45.30000,ug m-3,R
GN3,NO,12/04/2011 00:00,28.20000,ug m-3,R
GN3,NO,13/04/2011 00:00,34.10000,ug m-3,R
GN3,NO,14/04/2011 00:00,29.50000,ug m-3,R
GN3,NO,15/04/2011 00:00,37.00000,ug m-3,R
GN3,NO,16/04/2011 00:00,32.90000,ug m-3,R
GN3,NO,17/04/2011 00:00,27.40000,ug m-3,R
GN3,NO,18/04/2011 00:00,14.80000,ug m-3,R
GN3,NO,19/04/2011 00:00,28.30000,ug m-3,R
GN3,NO,20/04/2011 00:00,26.40000,ug m-3,R
GN3,NO,21/04/2011 00:00,17.10000,ug m-3,R
GN3,NO,22/04/2011 00:00,17.90000,ug m-3,R
GN3,NO,23/04/2011 00:00,21.10000,ug m-3,R
GN3,NO,24/04/2011 00:00,10.10000,ug m-3,R
GN3,NO,25/04/2011 00:00,1.90000,ug m-3,R
GN3,NO,26/04/2011 00:00,1.90000,ug m-3,R
GN3,NO,27/04/2011 00:00,1.90000,ug m-3,R
GN3,NO,28/04/2011 00:00,2.50000,ug m-3,R
GN3,NO,29/04/2011 00:00,2.90000,ug m-3,R
GN3,NO,30/04/2011 00:00,4.80000,ug m-3,R
GN3,NO,01/05/2011 00:00,4.80000,ug m-3,R
GN3,NO,02/05/2011 00:00,3.10000,ug m-3,R
GN3,NO,03/05/2011 00:00,7.90000,ug m-3,R
GN3,NO,04/05/2011 00:00,14.60000,ug m-3,R
GN3,NO,05/05/2011 00:00,25.00000,ug m-3,R
GN3,NO,06/05/2011 00:00,22.00000,ug m-3,R
GN3,NO,07/05/2011 00:00,17.60000,ug m-3,R
GN3,NO,08/05/2011 00:00,10.60000,ug m-3,R
GN3,NO,09/05/2011 00:00,14.90000,ug m-3,R
GN3,NO,10/05/2011 00:00,15.90000,ug m-3,R
GN3,NO,11/05/2011 00:00,23.90000,ug m-3,R
GN3,NO,12/05/2011 00:00,,ug m-3,R
GN3,NO,13/05/2011 00:00,22.20000,ug m-3,R
GN3,NO,14/05/2011 00:00,16.60000,ug m-3,R
GN3,NO,15/05/2011 00:00,12.10000,ug m-3,R
GN3,NO,16/05/2011 00:00,19.20000,ug m-3,R
GN3,NO,17/05/2011 00:00,18.80000,ug m-3,R
GN3,NO,18/05/2011 00:00,16.90000,ug m-3,R
GN3,NO,19/05/2011 00:00,18.80000,ug m-3,R
